A股代码,证券简称,上市日期
600320,振华重工,20001221
600321,正源股份,20010524
600322,津投城开,20010910
600323,瀚蓝环境,20001225
600325,华发股份,20040225
600326,西藏天路,20010116
600327,大东方,20020625
600328,中盐化工,20001222
600329,达仁堂,20010606
600330,天通股份,20010118
600331,宏达股份,20011220
600332,白云山,20010206
600333,长春燃气,20001211
600335,国机汽车,20010305
600336,澳柯玛,20001229
600337,美克家居,20001127
600338,西藏珠峰,20001227
600339,中油工程,20001225
600340,华夏幸福,20031230
600343,航天动力,20030408
600345,长江通信,20001222
600346,恒力石化,20010820
600348,华阳股份,20030821
600350,山东高速,20020318
600351,亚宝药业,20020926
600352,浙江龙盛,20030801
600353,旭光电子,20021120
600354,敦煌种业,20040115
600355,精伦电子,20020613
600356,恒丰纸业,20010419
600358,国旅联合,20000922
600359,新农开发,19990429
600360,华微电子,20010316
600361,创新新材,20011129
600362,江西铜业,20020111
600363,联创光电,20010329
600365,ST通葡,20010115
600366,宁波韵升,20001030
600367,红星发展,20010320
600368,五洲交通,20001221
600369,西南证券,20010109
600370,三房巷,20030306
600371,万向德农,20020916
600372,中航机载,20010706
600373,中文传媒,20020304
600375,星ST汉马,20030401
600376,首开股份,20010312
600377,宁沪高速,20010116
600378,昊华科技,20010111
600379,宝光股份,20020116
600380,健康元,20010608
600381,青海春天,20010508
600382,广东明珠,20010118
600383,金地集团,20010412
600386,北巴传媒,20010216
600387,ST海越,20040218
600388,龙净环保,20001229
600389,江山股份,20010110
600390,五矿资本,20010115
600391,航发科技,20011212
600392,盛和资源,20030529
600395,盘江股份,20010531
600396,星ST金山,20010328
600397,安源煤业,20020702
600398,海澜之家,20001228
600399,抚顺特钢,20001229
600400,红豆股份,20010108
600403,大有能源,20031009
600405,动力源,20040401
600406,国电南瑞,20031016
600408,安泰集团,20030212
600409,三友化工,20030618
600410,华胜天成,20040427
600415,小商品城,20020509
600416,湘电股份,20020718
600418,江淮汽车,20010824
600419,天润乳业,20010628
600420,国药现代,20040616
600421,华嵘控股,20040607
600422,昆药集团,20001206
600423,柳化股份,20030717
600425,青松建化,20030724
600426,华鲁恒升,20020620
600428,中远海特,20020418
600429,三元股份,20030915
600433,冠豪高新,20030619
600435,北方导航,20030704
600436,片仔癀,20030616
600438,通威股份,20040302
600439,瑞贝卡,20030710
600444,国机通用,20040219
600446,金证股份,20031224
600448,华纺股份,20010903
600449,宁夏建材,20030829
600452,涪陵电力,20040303
600455,博通股份,20040329
600456,宝钛股份,20020412
600458,时代新材,20021219
600459,贵研铂业,20030516
600460,士兰微,20030311
600461,洪城环境,20040601
600462,ST九有,20030903
600463,空港股份,20040318
600467,好当家,20040405
600468,百利电气,20010615
600469,风神股份,20031021
600470,六国化工,20040305
600475,华光环能,20030721
600476,湘邮科技,20031210
600477,杭萧钢构,20031110
600478,科力远,20030918
600479,千金药业,20040312
600480,凌云股份,20030815
600481,双良节能,20030422
600482,中国动力,20040714
600483,福能股份,20040531
600486,扬农化工,20020425
600487,亨通光电,20030822
600488,津药药业,20010618
600489,中金黄金,20030814
600490,鹏欣资源,20030626
600491,龙元建设,20040524
600493,凤竹纺织,20040421
600495,晋西车轴,20040526
600496,精工钢构,20020605
600497,驰宏锌锗,20040420
600498,烽火通信,20010823
600499,科达制造,20021010
600500,中化国际,20000301
600501,航天晨光,20010615
600502,安徽建工,20030415
600503,华丽家族,20020709
600505,西昌电力,20020530
600506,统一股份,20011226
600507,方大特钢,20030930
600508,上海能源,20010829
600509,天富能源,20020228
600510,黑牡丹,20020618
600511,国药股份,20021127
600512,腾达建设,20021226
600513,联环药业,20030319
600515,海南机场,20020806
600516,方大炭素,20020830
600517,国网英大,20031010
600518,ST康美,20010319
600519,贵州茅台,20010827
600520,文一科技,20020108
600521,华海药业,20030304
600522,中天科技,20021024
600523,贵航股份,20011227
600525,长园集团,20021202
600526,菲达环保,20020722
600527,江南高纤,20031127
600528,中铁工业,20010528
600529,山东药玻,20020603
600530,ST交昂,20010702
600531,豫光金铅,20020730
600533,栖霞建设,20020328
600535,天士力,20020823
600536,中国软件,20020517
600537,亿晶光电,20030123
600538,国发股份,20030114
600539,狮头股份,20010824
600540,新赛股份,20040107
600543,星ST莫高,20040324
600545,卓郎智能,20031203
600546,山煤国际,20030731
600547,山东黄金,20030828
600548,深高速,20011225
600549,厦门钨业,20021107
600550,保变电气,20010228
600551,时代出版,20020905
600552,凯盛科技,20021108
600556,天下秀,20010807
600557,康缘药业,20020918
600558,大西洋,20010227
600559,老白干酒,20021029
600560,金自天正,20020919
600561,江西长运,20020716
600562,国睿科技,20030128
600563,法拉电子,20021210
600565,迪马股份,20020723
600566,济川药业,20010822
600567,山鹰国际,20011218
600568,ST中珠,20010518
600569,安阳钢铁,20010820
600570,恒生电子,20031216
600571,信雅达,20021101
600572,康恩贝,20040412
600573,惠泉啤酒,20030226
600575,淮河能源,20030328
600576,祥源文旅,20030220
600577,精达股份,20020911
600578,京能电力,20020510
600579,克劳斯,20020809
600580,卧龙电驱,20020606
600581,八一钢铁,20020816
600582,天地科技,20020515
600583,海油工程,20020205
600584,长电科技,20030603
600585,海螺水泥,20020207
600586,金晶科技,20020815
600587,新华医疗,20020927
600588,用友网络,20010518
600589,星ST榕泰,20010612
600590,泰豪科技,20020703
600592,龙溪股份,20020805
600593,大连圣亚,20020711
600594,益佰制药,20040323
600595,中孚实业,20020626
600596,新安股份,20010906
600597,光明乳业,20020828
600598,北大荒,20020329
600599,ST熊猫,20010828
600600,青岛啤酒,19930827
600601,方正科技,19901219
600602,云赛智联,19901219
600603,广汇物流,19920113
600604,市北高新,19920327
600605,汇通能源,19920327
600606,绿地控股,19920327
600608,ST沪科,19920327
600609,金杯汽车,19920724
600610,中毅达,19920805
600611,大众交通,19920807
600612,老凤祥,19920814
600613,神奇制药,19920820
600615,丰华股份,19920910
600616,金枫酒业,19920929
600617,国新能源,19921013
600618,氯碱化工,19921113
600619,海立股份,19921116
600620,天宸股份,19921117
600621,华鑫股份,19921202
600622,光大嘉宝,19921203
600623,华谊集团,19921204
600624,复旦复华,19930105
600626,申达股份,19930107
600628,新世界,19930119
600629,华建集团,19930209
600630,龙头股份,19930209
600633,浙数文化,19930304
600635,大众公用,19930304
600636,国新文化,19930316
600637,东方明珠,19930316
600638,新黄浦,19930326
600639,浦东金桥,19930326
600640,国脉文化,19930407
600641,万业企业,19930407
600642,申能股份,19930416
600643,爱建集团,19930426
600644,乐山电力,19930426
600645,中源协和,19930504
600647,星ST同达,19930504
